iter	Passed	Remaining
0	156	77997
1	163	40730
2	168	27874
3	171	21326
4	175	17331
5	178	14660
6	180	12740
7	183	11286
8	185	10145
9	188	9221
10	190	8467
11	192	7836
12	194	7299
13	197	6843
14	199	6451
15	200	6075
16	203	5769
17	205	5499
18	207	5259
19	210	5041
20	212	4845
21	214	4670
22	217	4511
23	220	4366
24	222	4226
25	224	4097
26	227	3977
27	229	3867
28	231	3762
29	234	3666
30	236	3573
31	238	3488
32	240	3409
33	243	3334
34	245	3264
35	248	3197
36	250	3131
37	252	3070
38	254	3011
39	257	2956
40	259	2903
41	261	2853
42	263	2805
43	266	2758
44	268	2714
45	270	2671
46	272	2630
47	275	2591
48	277	2554
49	279	2517
50	282	2483
51	284	2448
52	286	2416
53	288	2384
54	290	2353
55	293	2324
56	295	2295
57	297	2268
58	299	2241
59	302	2216
60	304	2190
61	306	2166
62	309	2143
63	311	2121
64	313	2099
65	315	2077
66	318	2056
67	320	2036
68	322	2015
69	325	1996
70	327	1977
71	329	1958
72	331	1937
73	333	1919
74	335	1902
75	338	1885
76	340	1869
77	342	1853
78	344	1837
79	347	1822
80	349	1807
81	351	1794
82	353	1777
83	356	1764
84	358	1752
85	361	1738
86	363	1726
87	366	1714
88	368	1702
89	371	1691
90	373	1680
91	376	1667
92	378	1656
93	380	1645
94	383	1634
95	385	1623
96	388	1613
97	390	1603
98	393	1592
99	395	1581
100	397	1570
101	399	1560
102	402	1549
103	404	1539
104	406	1529
105	408	1519
106	411	1509
107	413	1500
108	415	1490
109	417	1481
110	420	1472
111	422	1463
112	424	1455
113	427	1446
114	429	1437
115	431	1428
116	433	1419
117	436	1411
118	438	1403
119	440	1395
120	443	1387
121	445	1379
122	447	1371
123	449	1364
124	452	1356
125	454	1349
126	456	1341
127	458	1333
128	461	1326
129	463	1318
130	465	1311
131	467	1304
132	470	1297
133	472	1290
134	474	1283
135	476	1276
136	479	1269
137	481	1262
138	483	1256
139	485	1249
140	488	1243
141	490	1236
142	492	1229
143	494	1223
144	497	1217
145	499	1210
146	501	1204
147	504	1198
148	506	1192
149	508	1186
150	510	1180
151	513	1175
152	515	1169
153	517	1163
154	520	1157
155	522	1152
156	524	1146
157	527	1140
158	529	1135
159	531	1129
160	534	1125
161	536	1119
162	538	1114
163	541	1108
164	543	1103
165	545	1097
166	548	1092
167	550	1087
168	552	1082
169	555	1077
170	557	1072
171	559	1067
172	561	1062
173	564	1057
174	566	1052
175	569	1048
176	571	1043
177	574	1038
178	576	1034
179	579	1029
180	581	1025
181	584	1021
182	587	1016
183	589	1012
184	591	1007
185	594	1003
186	596	998
187	600	995
188	602	992
189	605	988
190	608	983
191	610	979
192	613	975
193	616	973
194	619	968
195	621	964
196	623	959
197	626	955
198	629	951
199	631	947
200	633	942
201	636	938
202	638	934
203	640	929
204	643	925
205	645	921
206	647	916
207	650	912
208	652	908
209	654	904
210	656	899
211	659	895
212	661	891
213	663	887
214	666	883
215	668	878
216	670	874
217	673	870
218	675	866
219	677	862
220	679	858
221	682	854
222	684	850
223	687	846
224	689	842
225	692	839
226	694	835
227	696	831
228	698	827
229	701	823
230	703	819
231	705	815
232	708	811
233	710	807
234	712	803
235	714	799
236	717	795
237	719	791
238	721	788
239	723	784
240	726	780
241	728	776
242	730	772
243	733	769
244	735	765
245	737	761
246	739	757
247	742	754
248	744	750
249	746	746
250	748	742
251	751	739
252	753	735
253	755	732
254	758	728
255	760	724
256	762	721
257	765	717
258	767	713
259	769	710
260	771	706
261	774	703
262	776	699
263	778	696
264	780	692
265	783	688
266	785	685
267	787	682
268	790	678
269	792	675
270	794	671
271	796	668
272	799	664
273	801	660
274	803	657
275	806	654
276	808	650
277	810	647
278	812	643
279	815	640
280	817	637
281	819	633
282	822	630
283	824	627
284	826	623
285	828	620
286	831	616
287	833	613
288	835	610
289	837	606
290	840	603
291	842	600
292	844	596
293	846	593
294	849	590
295	851	586
296	853	583
297	855	580
298	858	577
299	861	574
300	863	571
301	866	567
302	868	564
303	870	561
304	873	558
305	875	554
306	877	551
307	879	548
308	882	545
309	884	542
310	886	538
311	889	535
312	891	532
313	893	529
314	895	526
315	898	522
316	900	519
317	902	516
318	904	513
319	907	510
320	909	507
321	911	503
322	914	500
323	916	497
